geolocation,suburb,postal_code
"-37.81440604, 144.98800059",East Melbourne,3002
"-37.81366619, 144.97662224",East Melbourne,3002
"-37.81382724, 144.9764779",East Melbourne,3002
"-37.81384773, 144.97649617",East Melbourne,3002
"-37.81371351, 144.97662347",East Melbourne,3002
"-37.81383414, 144.97654909",East Melbourne,3002
"-37.82802262, 144.98462949",Melbourne,3004
"-37.8280457, 144.98467146",Melbourne,3004
"-37.82803963, 144.98468465",Melbourne,3004
"-37.82804723, 144.98468191",Melbourne,3004
"-37.82804373, 144.98470861",Melbourne,3004
"-37.82804443, 144.98472349",Melbourne,3004
"-37.82805307, 144.98473302",Melbourne,3004
"-37.828053, 144.98474286",Melbourne,3004
"-37.82804629, 144.98475012",Melbourne,3004
"-37.83621661, 144.97596282",Melbourne,3004
"-37.83722022, 144.98368163",South Yarra,3141
"-37.83717339, 144.98382155",South Yarra,3141
"-37.83328926, 144.98434738",South Yarra,3141
"-37.83333836, 144.98476832",South Yarra,3141
"-37.83343557, 144.98554726",South Yarra,3141
"-37.8288951, 144.98484172",South Yarra,3141
"-37.82962212, 144.98469452",South Yarra,3141
"-37.82971645, 144.98467828",South Yarra,3141
"-37.82984239, 144.98465115",South Yarra,3141
"-37.83014673, 144.98459771",South Yarra,3141
"-37.83401236, 144.98381407",South Yarra,3141
"-37.83436122, 144.9837278",South Yarra,3141
"-37.83560019, 144.97936845",South Yarra,3141
"-37.83582125, 144.9793222",South Yarra,3141
"-37.83723822, 144.97901409",South Yarra,3141
"-37.80293388, 144.94410062",North Melbourne,3051
"-37.80409647, 144.94412938",North Melbourne,3051
"-37.79445108, 144.95584333",Parkville,3052
"-37.80025812, 144.97087794",Carlton South,3053
"-37.80018478, 144.9709987",Carlton South,3053
"-37.79996853, 144.97139262",Carlton South,3053
"-37.79895433, 144.97318762",Carlton South,3053
"-37.79886272, 144.97335094",Carlton South,3053
"-37.8245495, 144.97533085",Melbourne,3004
"-37.79273052, 144.94055847",North Melbourne,3051
"-37.82654094, 144.91181772",Port Melbourne,3207
"-37.79245144, 144.93954417",North Melbourne,3051
"-37.81917301, 144.95812175",Melbourne,3000
"-37.81628678, 144.98012564",East Melbourne,3002
"-37.81619524, 144.97949015",East Melbourne,3002
"-37.81622711, 144.97977769",East Melbourne,3002
"-37.8162794, 144.97993719",East Melbourne,3002
"-37.81760741, 144.97319111",Melbourne,3000
"-37.81760468, 144.97314247",Melbourne,3000
"-37.81815947, 144.97265368",Melbourne,3000
"-37.8181655, 144.97257989",Melbourne,3000
"-37.81822412, 144.97258297",Melbourne,3000
"-37.81823069, 144.9725042",Melbourne,3000
"-37.81828666, 144.97251559",Melbourne,3000
"-37.81836406, 144.97236406",Melbourne,3000
"-37.84574233, 144.98460066",Melbourne,3004
"-37.84572774, 144.98450613",Melbourne,3004
"-37.84471332, 144.98372253",South Yarra,3141
"-37.84455361, 144.98394072",South Yarra,3141
"-37.83208353, 144.97705395",Melbourne,3004
"-37.84209481, 144.98424606",South Yarra,3141
"-37.84166291, 144.98431123",South Yarra,3141
"-37.84187442, 144.9842827",South Yarra,3141
"-37.84804709, 144.98303169",Melbourne,3004
"-37.84826945, 144.98366646",Melbourne,3004
"-37.83309555, 144.97674584",Melbourne,3004
"-37.83300162, 144.97679027",Melbourne,3004
"-37.83384203, 144.98345768",Melbourne,3004
"-37.83236342, 144.97712057",Melbourne,3004
"-37.83256624, 144.97630698",Melbourne,3004
"-37.8406255, 144.98401068",South Yarra,3141
"-37.84195635, 144.98096111",South Yarra,3141
"-37.84171595, 144.98077688",South Yarra,3141
"-37.83802248, 144.98195403",South Yarra,3141
"-37.78894888, 144.90417009",Flemington,3031
"-37.7888732, 144.90424638",Flemington,3031
"-37.78882968, 144.90425696",Flemington,3031
"-37.78874207, 144.904323",Flemington,3031
"-37.78872834, 144.90434499",Flemington,3031
"-37.78870034, 144.9043585",Flemington,3031
"-37.78819205, 144.90465454",Flemington,3031
"-37.78847382, 144.90450166",Flemington,3031
"-37.78857076, 144.90441549",Flemington,3031
"-37.78859173, 144.90440346",Flemington,3031
"-37.79334504, 144.96629836",Carlton South,3053
"-37.80475795, 144.96496762",Carlton South,3053
"-37.80755133, 144.97272019",Carlton South,3053
"-37.79530968, 144.97087897",Carlton South,3053
"-37.80460694, 144.96354373",Carlton South,3053
"-37.8045981, 144.96346511",Carlton South,3053
"-37.79631739, 144.97313579",Carlton South,3053
"-37.79625124, 144.97315031",Carlton South,3053
"-37.79818393, 144.96573348",Carlton South,3053
"-37.80748617, 144.97212836",Carlton South,3053
"-37.80726193, 144.97002939",Carlton South,3053
"-37.80725412, 144.9699086",Carlton South,3053
"-37.79757712, 144.96583319",Carlton South,3053
"-37.79972263, 144.96395471",Parkville,3010
"-37.7978241, 144.96455674",Carlton South,3053
"-37.79827589, 144.96420412",Parkville,3010
"-37.82495923, 144.93919976",Docklands,3008
"-37.82446326, 144.93862983",Docklands,3008
"-37.82440822, 144.93856297",Docklands,3008
"-37.82417965, 144.93830084",Docklands,3008
"-37.82412062, 144.9382386",Docklands,3008
"-37.82406521, 144.93816697",Docklands,3008
"-37.82277697, 144.93566732",Port Melbourne,3207
"-37.82207391, 144.93278036",Port Melbourne,3207
"-37.82123979, 144.92922809",Docklands,3008
"-37.82143903, 144.93016735",Docklands,3008
"-37.82404576, 144.92410597",Port Melbourne,3207
"-37.82445165, 144.92423551",Port Melbourne,3207
"-37.82452766, 144.92424885",Port Melbourne,3207
"-37.82504727, 144.92441388",Port Melbourne,3207
"-37.82639759, 144.92483143",Port Melbourne,3207
"-37.82465299, 144.92192036",Port Melbourne,3207
"-37.82609751, 144.92236774",Port Melbourne,3207
"-37.8018157, 144.9564238",North Melbourne,3051
"-37.83114005, 144.9761556",Melbourne,3004
"-37.82819028, 144.9745616",Melbourne,3004
"-37.82024212, 144.98134113",Melbourne,3004
"-37.81403428, 144.96142505",Melbourne,3000
"-37.81381588, 144.96132596",Melbourne,3000
"-37.82444745, 144.96849073",Southbank,3006
"-37.82440188, 144.96851917",Southbank,3006
"-37.82383361, 144.96832777",Southbank,3006
"-37.82364988, 144.96751756",Southbank,3006
"-37.83037764, 144.96551868",Southbank,3006
"-37.79915855, 144.92761678",Flemington,3031
"-37.7988599, 144.92735069",Flemington,3031
"-37.80172622, 144.91500533",West Melbourne,3003
"-37.8017783, 144.91518617",West Melbourne,3003
"-37.8018144, 144.91526907",West Melbourne,3003
"-37.801902, 144.9153302",West Melbourne,3003
"-37.79124871, 144.95883384",Parkville,3052
"-37.79361698, 144.95788293",Parkville,3052
"-37.82236361, 144.98534954",Melbourne,3004
"-37.82233773, 144.98528688",Melbourne,3004
"-37.82214646, 144.9847791",Melbourne,3004
"-37.82209054, 144.9846681",Melbourne,3004
"-37.82199143, 144.9844294",Melbourne,3004
"-37.82186286, 144.9841265",Melbourne,3004
"-37.82182735, 144.9840526",Melbourne,3004
"-37.82172871, 144.9838442",Melbourne,3004
"-37.82170728, 144.9838104",Melbourne,3004
"-37.8216879, 144.9837707",Melbourne,3004
"-37.79584105, 144.9392074",North Melbourne,3051
"-37.78957657, 144.94917112",Parkville,3052
"-37.81633503, 144.98886176",East Melbourne,3002
"-37.80520701, 144.94224553",West Melbourne,3003
"-37.79380469, 144.92002743",Flemington,3031
"-37.8224528, 144.93056341",Port Melbourne,3207
"-37.79312767, 144.91680337",Flemington,3031
"-37.80457138, 144.96023843",Carlton South,3053
"-37.83062331, 144.9850787",South Yarra,3141
"-37.83064622, 144.98608493",South Yarra,3141
"-37.79475408, 144.91311488",Flemington,3031
"-37.79471218, 144.91318644",Flemington,3031
"-37.79469918, 144.91330152",Flemington,3031
"-37.79989298, 144.91260862",West Melbourne,3003
"-37.79994239, 144.9126712",West Melbourne,3003
"-37.78055972, 144.95053896",Parkville,3052
"-37.79310287, 144.95626876",Parkville,3052
"-37.79313968, 144.95677148",Parkville,3052
"-37.81394355, 144.94251146",Docklands,3008
"-37.81294946, 144.93893467",Docklands,3008
"-37.82370461, 144.92513967",Port Melbourne,3207
"-37.82651548, 144.9091863",Port Melbourne,3207
"-37.82472438, 144.9432567",Docklands,3008
"-37.82474617, 144.94332289",Docklands,3008
"-37.82494452, 144.94437758",Docklands,3008
"-37.80279068, 144.9555621",North Melbourne,3051
"-37.80300208, 144.95524558",North Melbourne,3051
"-37.81355291, 144.98994959",East Melbourne,3002
"-37.8037201, 144.95462735",North Melbourne,3051
"-37.80378415, 144.95517988",North Melbourne,3051
"-37.80923107, 144.9612003",Melbourne,3000
"-37.80468252, 144.94390925",West Melbourne,3003
"-37.8047088, 144.94632036",North Melbourne,3051
"-37.80472958, 144.94654244",North Melbourne,3051
"-37.82363304, 144.94066002",Docklands,3008
"-37.82352072, 144.94189906",Docklands,3008
"-37.82497683, 144.94416064",Docklands,3008
"-37.82513006, 144.94587115",Docklands,3008
"-37.82506484, 144.94594442",Docklands,3008
"-37.82516978, 144.94696547",Docklands,3008
"-37.82830101, 144.90747551",Port Melbourne,3207
"-37.82834427, 144.90740018",Port Melbourne,3207
"-37.82800717, 144.90710154",Port Melbourne,3207
"-37.82792446, 144.90724817",Port Melbourne,3207
"-37.8277914, 144.90712974",Port Melbourne,3207
"-37.82757401, 144.90695749",Port Melbourne,3207
"-37.82744348, 144.90656734",Port Melbourne,3207
"-37.82736124, 144.90674018",Port Melbourne,3207
"-37.8272784, 144.90664546",Port Melbourne,3207
"-37.82698805, 144.9061852",Port Melbourne,3207
"-37.82663964, 144.90609415",Port Melbourne,3207
"-37.8264795, 144.9058383",Port Melbourne,3207
"-37.8264159, 144.90577189",Port Melbourne,3207
"-37.82629471, 144.90568214",Port Melbourne,3207
"-37.82652945, 144.90576956",Port Melbourne,3207
